transport,name,line,weight,is_hub,base_occupancy
rtp,Metro Cuatro Caminos - Col. Moctezuma 2a. Sección,18,1.0,False,0.2
rtp,Metro El Rosario - Parque México por Cuitláhuac,19,1.0,False,0.2
rtp,Metro El Rosario - Parque México por Normal,19-A,1.0,False,0.2
rtp,Circuito Bicentenario Sur,200,1.0,False,0.2
rtp,Paseo Acoxpa - Metro Auditorio,300-A,1.0,False,0.2
rtp,Metro El Rosario - Metro Chapultepec,59,1.0,False,0.2
rtp,Metro El Rosario - Sullivan,59-A,1.0,False,0.2
rtp,Santa Fe (Centro Comercial) - San Bartolo Ameyalco,9-D,1.0,False,0.2
rtp,Ixtlahuaca,115-A,1.0,False,0.2
rtp,Potrero de Tepito,115-A,1.0,False,0.2
rtp,Calz. Las Águilas,115-A,1.0,False,0.2
rtp,Estrellas Colgate,115-A,1.0,False,0.2
rtp,Parque Axomiatla,115-A,1.0,False,0.2
rtp,Plaza Axomiatla,115-A,1.0,False,0.2
rtp,Walmart Express,115-A,1.0,False,0.2
rtp,Gavilanes,115-A,1.0,False,0.2
rtp,Supervía Poniente,115-A,1.0,False,0.2
rtp,Las Águilas,115-A,1.0,False,0.2
rtp,Picagregos,115-A,1.0,False,0.2
rtp,Puente Colorado,115-A,1.0,False,0.2
rtp,Río Metlac,115-A,1.0,False,0.2
rtp,Jacarandas,115-A,1.0,False,0.2
rtp,Waldos,115-A,1.0,False,0.2
rtp,Bahía,115-A,1.0,False,0.2
rtp,Llanuras,115-A,1.0,False,0.2
rtp,Meseta,115-A,1.0,False,0.2
rtp,Gasolinera,115-A,1.0,False,0.2
rtp,Walmart,115-A,1.0,False,0.2
rtp,Parque Japón,115-A,1.0,False,0.2
rtp,Isla,115-A,1.0,False,0.2
rtp,Marisma,115-A,1.0,False,0.2
rtp,DIF,115-A,1.0,False,0.2
rtp,Luz y Fuerza,115-A,1.0,False,0.2
rtp,Espigones,115-A,1.0,False,0.2
rtp,Calz. de los Leones,115-A,1.0,False,0.2
rtp,Calz. de las Águilas,115-A,1.0,False,0.2
rtp,Condor,115-A,1.0,False,0.2
rtp,Liga Maya,115-A,1.0,False,0.2
rtp,Periférico,115-A,1.0,False,0.2
rtp,Hosp. Darío Fernández,115-A,1.0,False,0.2
rtp,Diego Becerra,115-A,1.0,False,0.2
rtp,Iglesia La Candelaria,115-A,1.0,False,0.2
rtp,Río Mixcoac,115-A,1.0,False,0.2
rtp,Goya,115-A,1.0,False,0.2
rtp,Metro Mixcoac,115-A,1.0,False,0.2
rtp,INEGI,115-A,1.0,False,0.2
rtp,Metro San Antonio,115-A,1.0,False,0.2
rtp,Calle 10,115-A,1.0,False,0.2
rtp,Metro San Pedro de los Pinos,115-A,1.0,False,0.2
rtp,Puente de La Morena,115-A,1.0,False,0.2
rtp,Metropoli Patriotismo,115-A,1.0,False,0.2
rtp,Viaducto,115-A,1.0,False,0.2
rtp,Av. José Martí,115-A,1.0,False,0.2
rtp,Metro Patriotismo,115-A,1.0,False,0.2
rtp,Alfonso Reyes,115-A,1.0,False,0.2
rtp,Profeco,115-A,1.0,False,0.2
rtp,Juan Escutia,115-A,1.0,False,0.2
rtp,Metro Chapultepec,115-A,1.0,False,0.2
rtp,Chapultepec,115-A,1.0,False,0.2
rtp,Metro Juanacatlán,115-A,1.0,False,0.2
rtp,Soriana,115-A,1.0,False,0.2
rtp,José Martí,115-A,1.0,False,0.2
rtp,Metro Tacubaya,115-A,1.0,False,0.2
rtp,11 de Abril,115-A,1.0,False,0.2
rtp,Clínica 9 IMSS,115-A,1.0,False,0.2
rtp,Rembrandt,115-A,1.0,False,0.2
rtp,Molinos,115-A,1.0,False,0.2
rtp,La Esperanza,115-A,1.0,False,0.2
rtp,Módulo Policia,115-A,1.0,False,0.2
rtp,Merced Gómez,115-A,1.0,False,0.2
rtp,Superama,115-A,1.0,False,0.2
rtp,Gutiérrez Zamora,115-A,1.0,False,0.2
rtp,Primaria,115-A,1.0,False,0.2
rtp,Puente Metlac,115-A,1.0,False,0.2
rtp,Centenario,115-A,1.0,False,0.2
rtp,Cafeteros,115-A,1.0,False,0.2
rtp,CETRAM CONSTITUCIÓN DE 1917 ANDEN B,159,1.0,False,0.2
rtp,MANTO,159,1.0,False,0.2
rtp,MANUEL ACUÑA,159,1.0,False,0.2
rtp,ALTAMIRANO,159,1.0,False,0.2
rtp,GUADALUPE VICTORIA,159,1.0,False,0.2
rtp,CUITLAHUAC,159,1.0,False,0.2
rtp,MATAMOROS (CALLE 17),159,1.0,False,0.2
rtp,POZOS,159,1.0,False,0.2
rtp,ZACAPEXCO,159,1.0,False,0.2
rtp,VOCA 7,159,1.0,False,0.2
rtp,PALMITAS,159,1.0,False,0.2
rtp,SALVADOR ALLENDE (FRENTE AL AUTOLAVADO),159,1.0,False,0.2
rtp,JOSE OTHON,159,1.0,False,0.2
rtp,SOR JUANA,159,1.0,False,0.2
rtp,TEPATLAXCO,159,1.0,False,0.2
rtp,TURITZIO,159,1.0,False,0.2
rtp,ALAHOS,159,1.0,False,0.2
rtp,MANUEL ACUÑA / JACARANDAS,159,1.0,False,0.2
rtp,MANUEL ACUÑA / NUECES,159,1.0,False,0.2
rtp,PLATA,159,1.0,False,0.2
rtp,SANTA MARIA DE JESUS,159,1.0,False,0.2
rtp,LEONARDO DAVINCI,159,1.0,False,0.2
rtp,ERMITA IZTAPALA,159,1.0,False,0.2
rtp,JALISCO,159,1.0,False,0.2
rtp,EL LLANO,159,1.0,False,0.2
rtp,TINACOS,159,1.0,False,0.2
rtp,CALLE 17,159,1.0,False,0.2
rtp,CALLE 39,159,1.0,False,0.2
rtp,CALLE 55,159,1.0,False,0.2
rtp,CALLE 71,159,1.0,False,0.2
rtp,PROFESOR MARILES (2 DE ABRIL),159,1.0,False,0.2
rtp,TULIPAN,159,1.0,False,0.2
rtp,CIRO B. CEBALLOS,159,1.0,False,0.2
rtp,PERIIFERICO,159,1.0,False,0.2
rtp,ANDEN B,161-E,1.0,False,0.2
rtp,EL MANTO,161-E,1.0,False,0.2
rtp,ENRIQUETA CAMARILLO,161-E,1.0,False,0.2
rtp,HIDALGO,161-E,1.5,True,0.2
rtp,VERGEL,161-E,1.0,False,0.2
rtp,INSURGENTES,161-E,1.0,False,0.2
rtp,MAURILIO MEJIA,161-E,1.0,False,0.2
rtp,GUADALUPE VICTORIA (CERRADA INSURGENTES),161-E,1.0,False,0.2
rtp,MANUEL CAÑAS,161-E,1.0,False,0.2
rtp,VILLAS ASCURI,161-E,1.0,False,0.2
rtp,JACARANDAS,161-E,1.0,False,0.2
rtp,VILLA CAÑAS,161-E,1.0,False,0.2
rtp,VILLA DIEGO,161-E,1.0,False,0.2
rtp,VILLA ELOISA,161-E,1.0,False,0.2
rtp,VILLA FEDERAL,161-E,1.0,False,0.2
rtp,VILLA FRANQUESA,161-E,1.0,False,0.2
rtp,VILLA C,161-E,1.0,False,0.2
rtp,VILLA FRECHOS,161-E,1.0,False,0.2
rtp,VILLA FUFRE,161-E,1.0,False,0.2
rtp,VILLA FABELA,161-E,1.0,False,0.2
rtp,VILLA GONZALO,161-E,1.0,False,0.2
rtp,JUAN DE LA BARRERA,161-E,1.0,False,0.2
rtp,JUAN ESCUTIA/JOSE BUENAVISTA,161-E,1.0,False,0.2
rtp,VILLA CID / JUAN ESCUTIA,161-E,1.0,False,0.2
rtp,C.C. JUAN ESCUTIA / IGNACIO ALLENDE,161-E,1.0,False,0.2
rtp,VILLA FRANQUEZA (VILLA CID),161-E,1.0,False,0.2
rtp,VILLA GATON,161-E,1.0,False,0.2
rtp,1ER RETORNO DE VILLA FRANQUEZA (VILLA FRESA),161-E,1.0,False,0.2
rtp,VILLA CID (CALLEJON VILLA GALLEGOS),161-E,1.0,False,0.2
rtp,(VILLA FRECHO),161-E,1.0,False,0.2
rtp,VILLA FIGUEROA,161-E,1.0,False,0.2
rtp,VILLA FELICHE,161-E,1.0,False,0.2
rtp,VILLA DEL REY,161-E,1.0,False,0.2
rtp,VILLA BRUSUAL,161-E,1.0,False,0.2
rtp,VILLA VALLESTER,161-E,1.0,False,0.2
rtp,VILLAS ASCASUBI,161-E,1.0,False,0.2
rtp,URSULO GALVAN,161-E,1.0,False,0.2
rtp,MORELOS,161-E,1.0,False,0.2
rtp,MANUEL ALTAMIRANO,161-E,1.0,False,0.2
rtp,LUCIO BLANCO (AVENIDA VERGEL),161-E,1.0,False,0.2
rtp,(CUAUHTEMOC),161-E,1.0,False,0.2
rtp,EJE 8 SUR CALZADA ERMITA - IZTAPALAPA,161-E,1.0,False,0.2
rtp,LUIS CABRERA (2 DE ABRIL),161-E,1.0,False,0.2
rtp,GONZALEZ CAMARENA,161-E,1.0,False,0.2
rtp,POFESOR MARILES,161-E,1.0,False,0.2
rtp,CIRO B. CEBALOS,161-E,1.0,False,0.2
rtp,PERIFERICO,161-E,1.0,False,0.2
rtp,ANDEN A,166,1.0,False,0.2
rtp,METRO ZARAGOZA,166,1.0,False,0.2
rtp,EJE 4 ORIENTE AVENIDA RIO CHURUBUSCO,166,1.0,False,0.2
rtp,ORIENTE 237,166,1.0,False,0.2
rtp,ROJO GOMEZ,166,1.0,False,0.2
rtp,ORIENTE 245,166,1.0,False,0.2
rtp,ORIENTE 247,166,1.0,False,0.2
rtp,ORIENTE 245 - A,166,1.0,False,0.2
rtp,ORIENTE 253,166,1.0,False,0.2
rtp,ORIENTE 259,166,1.0,False,0.2
rtp,CANAL DE SAN JUAN,166,1.0,False,0.2
rtp,PRIMAVERA,166,1.0,False,0.2
rtp,CUAUHTEMOC,166,1.0,False,0.2
rtp,FRAY JESUS ALMANZA,166,1.0,False,0.2
rtp,AVENIDA GENERAL ANTONIO DE LEON,166,1.0,False,0.2
rtp,ISSSTE ZARAGOZA,166,1.0,False,0.2
rtp,AZCARRAGA,166,1.0,False,0.2
rtp,GUELATAO,166,1.0,False,0.2
rtp,JOSE MARIA MORA,166,1.0,False,0.2
rtp,VARTA,166,1.0,False,0.2
rtp,ELBA,166,1.0,False,0.2
rtp,ROSALIO BUSTAMANTE,166,1.0,False,0.2
rtp,CESAR ELPIDIO CANALES,166,1.0,False,0.2
rtp,REPUBLICA FEDERAL SUR,166,1.0,False,0.2
rtp,TITO FERRER,166,1.0,False,0.2
rtp,EVERARDO GONZALEZ,166,1.0,False,0.2
rtp,AMADOR SALAZAR,166,1.0,False,0.2
rtp,METRO ACATITLA,166,1.0,False,0.2
rtp,FRANCISCO SARABIA,166,1.0,False,0.2
rtp,NI?OS HEROES,166,1.0,False,0.2
rtp,5 DE FEBRERO,166,1.0,False,0.2
rtp,OCTAVIO SENTIES,166,1.0,False,0.2
rtp,MARAVILLAS,166,1.0,False,0.2
rtp,PIRULI,166,1.0,False,0.2
rtp,AYALA,166,1.0,False,0.2
rtp,TEPOZTLAN,166,1.0,False,0.2
rtp,AV PAROTAS,166,1.0,False,0.2
rtp,AVENIDA MEXICO,166,1.0,False,0.2
rtp,CONGRESO DE LA UNION,166,1.0,False,0.2
rtp,OAXACA,166,1.0,False,0.2
rtp,PUEBLA,166,1.0,False,0.2
rtp,LIMAS,166,1.0,False,0.2
rtp,EUCALIPTO,166,1.0,False,0.2
rtp,MAGUEY/PIRULES - BELLOTA,166,1.0,False,0.2
rtp,LAZARO CARDENAS,166,1.0,False,0.2
rtp,AVENIDA REVOLUCION,166,1.0,False,0.2
rtp,20 DE NOVIEMBRE,166,1.0,False,0.2
rtp,LORETO,166,1.0,False,0.2
rtp,AV REVOLUCION/ VICENTE GUERRERO,166,1.0,False,0.2
rtp,CANTIL,166,1.0,False,0.2
rtp,DAMA QUINO,166,1.0,False,0.2
rtp,EJE 6 SUR AVENIDA DE LAS TORRES/CUAUHTEMOC,166,1.0,False,0.2
rtp,SANTA CRUZ,166,1.0,False,0.2
rtp,BENITO JUAREZ,166,1.0,False,0.2
rtp,2 MOCTEZUMA,166,1.0,False,0.2
rtp,SANTIAGO,166,1.0,False,0.2
rtp,EMILIANO ZAPATA,166,1.0,False,0.2
rtp,SENTIMIENTOS DE LA NACION (METRO ACATITLA),166,1.0,False,0.2
